frame,motion_idx,motion_frame,server_motion_idx,server_frame_idx,sync_status,body_pos_max_diff,body_pos_mean_diff,dof_max_diff,dof_mean_diff
0,34,10,34,10,SYNC,0.000000,0.000000,0.954811,0.223370
1,34,10,34,10,SYNC,0.000000,0.000000,0.961795,0.222275
2,34,11,34,11,SYNC,0.000000,0.000000,1.100773,0.237404
3,34,11,34,11,SYNC,0.000000,0.000000,1.108279,0.236397
4,34,12,34,12,SYNC,0.000000,0.000000,1.068727,0.251500
5,34,13,34,13,SYNC,0.000000,0.000000,1.030350,0.258106
6,34,13,34,13,SYNC,0.000000,0.000000,1.037678,0.255910
7,34,14,34,14,SYNC,0.000000,0.000000,1.048861,0.246129
8,34,14,34,14,SYNC,0.000000,0.000000,1.055723,0.243284
9,34,15,34,15,SYNC,0.000000,0.000000,1.056996,0.237023
10,34,16,34,16,SYNC,0.000000,0.000000,1.057534,0.235296
11,34,16,34,16,SYNC,0.000000,0.000000,1.062781,0.235928
12,34,17,34,17,SYNC,0.000000,0.000000,1.115322,0.248390
13,34,17,34,17,SYNC,0.000000,0.000000,1.143559,0.249850
14,34,18,34,18,SYNC,0.000000,0.000000,1.079201,0.223245
15,34,19,34,19,SYNC,0.000000,0.000000,0.772625,0.213695
16,34,19,34,19,SYNC,0.000000,0.000000,0.798575,0.216600
17,34,20,34,20,SYNC,0.000000,0.000000,0.681385,0.167773
18,34,20,34,20,SYNC,0.000000,0.000000,0.663188,0.171230
19,34,21,34,21,SYNC,0.000000,0.000000,0.602422,0.155312
20,34,22,34,22,SYNC,0.000000,0.000000,0.584574,0.154155
21,34,22,34,22,SYNC,0.000000,0.000000,0.582302,0.159866
22,34,23,34,22,SYNC,0.000000,0.000000,0.638406,0.164355
23,34,23,34,22,SYNC,0.000000,0.000000,0.697831,0.169847
24,34,24,34,22,SYNC,0.000000,0.000000,0.719344,0.176172
25,34,25,34,22,SYNC,0.000000,0.000000,0.728805,0.183663
26,34,25,34,22,SYNC,0.000000,0.000000,0.712514,0.189736
